No,Project Name,Municipality,Sector,Currency,Amount,YearStart,YearEnd_original,Funding/Donor,Implementing Partner,Status_original,SDGs_Alignment,NSDP_Alignment,YearEnd,Donor,Implementing Agency,Status,Budget,level_areas,Category,budget_clean
670,District Roads Rehabilitation and Maintenance Project in Timor-Leste,Liquica,Infrastructure,USD,"23,826,021.00",2023,2025,EU,ADB,Completed,5. Job & Social Protection,2. Infrastructure Development,2025.0,EU,ADB,Completed,23826021.0,Municipality,Multilateral/Banks,23826021.0
24,HAKBIIT Feto Project,Timor-Leste,Economic development,USD,"962,000.00",2024,2025,EU,ADRA,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2025.0,EU,ADRA,Ongoing - Active,962000.0,National,Multilateral/Banks,962000.0
142,Negotiated Partnership: ADRA,Timor-Leste,Multi sector,USD,"5,560,000",2023,2026,MFAT,ADRA New Zealand,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,2026.0,MFAT,ADRA New Zealand,Ongoing - Active,5560000.0,National,Bilateral (Foreign Govs),5560000.0
251,EU-Technical Assistance Support to Carbon Farming (EU-TASCF) Project,Timor-Leste,Climate Change and Disaster Risk,USD,"2,380,000",2024,2027,EU,Alinea International,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,2027.0,EU,Alinea International,Ongoing - Active,2380000.0,National,Multilateral/Banks,2380000.0
119,Australian NGO Cooperation Program – ANCP,Timor-Leste,Multi sector,USD,"94,311,400",2025,2025,DFAT,Australian NGOs,Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,DFAT,Australian NGOs,Ongoing - Active,94311400.0,National,Bilateral (Foreign Govs),94311400.0
143,Negotiated Partnership: Caritas,Timor-Leste,Multi sector,USD,"4,165,000",2023,2026,MFAT,Caritas New Zealand,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2026.0,MFAT,Caritas New Zealand,Ongoing - Active,4165000.0,National,Bilateral (Foreign Govs),4165000.0
144,Negotiated Partnership: ChildFund,Timor-Leste,Multi sector,USD,"5,460,000",2023,2025,MFAT,ChildFund,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2025.0,MFAT,ChildFund,Ongoing - Active,5460000.0,National,Bilateral (Foreign Govs),5460000.0
273,"RESTORE ""Restoring Ecosystems for Sustainable, TransfOrmative and REsilient Communities” under KIWA INITIATIVE",Timor-Leste,Climate Change and Disaster Risk,USD,"864,000",2024,2027,EU,Conservation International,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2027.0,EU,Conservation International,Ongoing - Active,864000.0,National,Multilateral/Banks,864000.0
254,Strengthening government capacities to monitor progress to the Sustainable Development Goal 2,Timor-Leste,Agriculture,USD,"204,000.00",2023,2025,FAO,FAO,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,2025.0,FAO,FAO,Ongoing - Active,204000.0,National,United Nations,204000.0
255,Strengthening Government Capacities: Find alternative options to manage invasive weeds,Timor-Leste,Agriculture,USD,"320,000.00",2023,2025,FAO,FAO,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,2025.0,FAO,FAO,Ongoing - Active,320000.0,National,United Nations,320000.0
